Cython, Board_Size
1.2000000000001593e-05,1
1.3000000000002593e-05,2
9.000000000002062e-06,3
1.4000000000000123e-05,4
1.7999999999997185e-05,5
4.49999999999999e-05,6
3.099999999999978e-05,7
5.300000000000096e-05,8
8.300000000000321e-05,9
0.00028500000000000053,10
0.0004280000000000013,11
0.0010439999999999998,12
0.0006239999999999996,13
0.0057900000000000035,14
0.002603999999999995,15
0.009329999999999998,16
0.011789,17
0.040145,18
0.03837200000000002,19
0.149618,20
0.14397899999999997,21
0.552137,22
0.572205,23
2.222429,24
2.345109,25
9.586006000000001,26
9.33115,27
40.357175999999995,28
45.564614000000006,29
100.00002,30
